date,province,country,lat,long,type,cases
2020-08-25,NA,Denmark,56.2639,9.5018,confirmed,83
2020-08-26,NA,Denmark,56.2639,9.5018,confirmed,57
2020-08-27,NA,Denmark,56.2639,9.5018,confirmed,90
2020-08-28,NA,Denmark,56.2639,9.5018,confirmed,73
2020-08-29,NA,Denmark,56.2639,9.5018,confirmed,79
2020-08-30,NA,Denmark,56.2639,9.5018,confirmed,112
2020-08-31,NA,Denmark,56.2639,9.5018,confirmed,94
2020-09-01,NA,Denmark,56.2639,9.5018,confirmed,99
2020-09-02,NA,Denmark,56.2639,9.5018,confirmed,111
2020-09-03,NA,Denmark,56.2639,9.5018,confirmed,179
2020-09-04,NA,Denmark,56.2639,9.5018,confirmed,173
2020-09-05,NA,Denmark,56.2639,9.5018,confirmed,189
2020-09-06,NA,Denmark,56.2639,9.5018,confirmed,147
2020-09-07,NA,Denmark,56.2639,9.5018,confirmed,230
2020-09-08,NA,Denmark,56.2639,9.5018,confirmed,243
2020-09-09,NA,Denmark,56.2639,9.5018,confirmed,251
2020-09-10,NA,Denmark,56.2639,9.5018,confirmed,317
2020-09-11,NA,Denmark,56.2639,9.5018,confirmed,292
2020-09-12,NA,Denmark,56.2639,9.5018,confirmed,341
2020-09-13,NA,Denmark,56.2639,9.5018,confirmed,333
2020-09-14,NA,Denmark,56.2639,9.5018,confirmed,347
2020-09-15,NA,Denmark,56.2639,9.5018,confirmed,334
2020-09-16,NA,Denmark,56.2639,9.5018,confirmed,0
2020-09-17,NA,Denmark,56.2639,9.5018,confirmed,822
2020-09-18,NA,Denmark,56.2639,9.5018,confirmed,454
2020-09-19,NA,Denmark,56.2639,9.5018,confirmed,589
2020-09-20,NA,Denmark,56.2639,9.5018,confirmed,469
2020-09-21,NA,Denmark,56.2639,9.5018,confirmed,418
2020-09-22,NA,Denmark,56.2639,9.5018,confirmed,476
2020-09-23,NA,Denmark,56.2639,9.5018,confirmed,558
2020-09-24,NA,Denmark,56.2639,9.5018,confirmed,559
2020-09-25,NA,Denmark,56.2639,9.5018,confirmed,678
2020-09-26,NA,Denmark,56.2639,9.5018,confirmed,619
2020-09-27,NA,Denmark,56.2639,9.5018,confirmed,424
2020-09-28,NA,Denmark,56.2639,9.5018,confirmed,435
2020-09-29,NA,Denmark,56.2639,9.5018,confirmed,392
2020-09-30,NA,Denmark,56.2639,9.5018,confirmed,534
2020-10-01,NA,Denmark,56.2639,9.5018,confirmed,398
2020-10-02,NA,Denmark,56.2639,9.5018,confirmed,536
2020-10-03,NA,Denmark,56.2639,9.5018,confirmed,370
2020-10-04,NA,Denmark,56.2639,9.5018,confirmed,378
2020-10-05,NA,Denmark,56.2639,9.5018,confirmed,377
2020-10-06,NA,Denmark,56.2639,9.5018,confirmed,322
2020-01-22,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-23,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
