"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
1999,1,9,21,187,9.7,11.7,1.66,9.09,4.76,999,998.2,10.4,4.8,999,99
1999,1,9,22,182,9.4,12.2,1.47,5.56,4.76,999,997.7,9.6,4.8,999,99
1999,1,9,23,250,9.1,11.1,1.45,9.09,4.77,999,998.7,9.2,4.8,999,99
1999,1,10,0,282,11.6,15.1,1.3,10,4.45,999,1001.3,5.8,4.8,999,99
1999,1,10,1,283,9.1,10.7,1.3,4.17,4.4,999,1003,3.6,4.7,999,99
1999,1,10,2,277,7.5,8.9,1.15,9.09,5.04,999,1004.6,2.8,4.4,999,99
1999,1,10,3,301,9.6,11.7,1.07,9.09,4.77,999,1006.5,2.6,4.4,999,99
1999,1,10,4,299,12.1,14.5,1.27,9.09,4.22,999,1007.7,1.7,4.4,999,99
1999,1,10,5,291,11,13.1,1.29,4,4.3,999,1008.9,0.6,4.4,999,99
1999,1,10,6,299,10.1,12.4,1.17,4.17,4.35,999,1010.2,-0.7,4.4,999,99
1999,1,10,7,293,8.5,11.1,1.15,9.09,4.33,999,1011.8,-1.2,4.4,999,99
1999,1,10,8,999,99,99,99,99,99,999,9999,999,999,999,99
1999,1,10,9,299,11.9,14.2,1.15,3.7,4,999,1011.5,-1.9,4.7,999,99
1999,1,10,10,308,9.9,11.9,1.14,3.7,4,999,1013,-2.7,4.7,999,99
1999,1,10,11,308,9.7,11.4,0.97,3.57,3.98,999,1013.5,-3.1,4.7,999,99
1999,1,10,12,308,9.2,11.6,0.91,10,4.01,999,1015.1,-3.6,4.7,999,99
1999,1,10,13,296,8.5,10.5,0.85,10,3.97,999,1015.7,-3.9,4.7,999,99
1999,1,10,14,303,8.4,10.6,0.87,10,4.04,999,1016.4,-4.3,4.7,999,99
1999,1,10,15,298,8.4,10.2,0.92,3.57,3.92,999,1017.2,-4.6,4.4,999,99
1999,1,10,16,300,7.3,9.4,0.95,10,4.26,999,1017.1,-4.4,4.4,999,99
1999,1,10,17,305,6.3,9.1,0.97,10,4.79,999,1016.6,-4.6,4.4,999,99
1999,1,10,18,310,4.9,6.7,0.99,11.11,5.34,999,1016.5,-4.6,4.4,999,99
1999,1,10,19,295,3.8,6.3,0.87,10,5.07,999,1016.2,-4.2,4.4,999,99
1999,1,10,20,292,4.7,7.1,0.75,10,5.24,999,1015.8,-3.4,4.4,999,99
1999,1,10,21,298,4.1,6.5,0.84,10,6.1,999,1016.3,-3.1,4.4,999,99
1999,1,10,22,293,2.9,4.9,0.76,10,6.16,999,1016.1,-3.2,4.4,999,99
1999,1,10,23,311,3.3,4.5,0.78,10,6.5,999,1015.8,-3.3,4.4,999,99
1999,1,11,0,289,2.2,4.2,0.81,11.11,7.07,999,1015.9,-3.4,4.6,999,99
1999,1,11,1,241,2.9,4.7,0.82,11.11,7.32,999,1016.3,-3.4,4.4,999,99
1999,1,11,2,256,3.7,5.4,0.9,10,7.87,999,1015.7,-3.1,4.4,999,99
1999,1,11,3,200,3.8,5.2,0.98,11.11,8.33,999,1015.7,-3.1,4.4,999,99
1999,1,11,4,206,4.5,6,0.92,10,8.29,999,1015.1,-3.5,4.3,999,99
1999,1,11,5,200,5.4,6.8,0.99,11.11,8.45,999,1015,-3.4,4.3,999,99
1999,1,11,6,202,5.9,7.3,0.9,11.11,7.85,999,1014.3,-3.3,4.3,999,99
1999,1,11,7,190,6.8,7.8,0.91,11.11,6,999,1014.1,-3.1,4.3,999,99
1999,1,11,8,193,8.3,9.6,0.88,11.11,5.53,999,1013.5,-2.6,4.4,999,99
1999,1,11,9,211,8.5,10.3,0.82,11.11,4.95,999,1013.4,-3,4.4,999,99
1999,1,11,10,222,8.9,11.3,0.91,11.11,4.39,999,1013.1,-2.5,4.7,999,99
1999,1,11,11,219,8.6,11.2,0.97,11.11,4.18,999,1013.3,-2.5,4.7,999,99
1999,1,11,12,223,7.1,9.3,0.81,10,4.36,999,1013.7,-2.6,4.7,999,99
